cycle1_synthon,count,fraction,mean_copies,max_copies
N([C@H](C(=O)O)c1ccccc1)C(OCC1c2c(c3c1cccc3)cccc2)=O,2,0.009259259259259259,8.5,13.0
[C@H](NC(OCC1c2c(c3c1cccc3)cccc2)=O)(C(=O)O)Cc1ccc(cc1)F,2,0.009259259259259259,4.0,4.0
c1(cccc(c1)C(=O)O)NC(OCC1c2c(c3c1cccc3)cccc2)=O,2,0.009259259259259259,5.0,5.0
N([C@@H](C(=O)O)Cc1cccc(c1)F)C(OCC1c2c(c3c1cccc3)cccc2)=O,2,0.009259259259259259,4.0,4.0
N([C@@H](C(=O)O)C1Cc2c(C1)cccc2)C(OCC1c2c(c3c1cccc3)cccc2)=O,2,0.009259259259259259,5.0,6.0
C([C@H](C(=O)O)N(C)C(OCC1c2c(c3c1cccc3)cccc2)=O)c1ccccc1,2,0.009259259259259259,6.0,7.0
N([C@@H](C(=O)O)Cc1ccco1)C(OCC1c2c(c3c1cccc3)cccc2)=O,2,0.009259259259259259,4.0,4.0
N([C@@H](C(=O)O)Cc1cc(c(cc1)Cl)Cl)C(OCC1c2c(c3c1cccc3)cccc2)=O,2,0.009259259259259259,4.0,4.0
N([C@@H](C(=O)O)Cc1cc(OC)ccc1)C(OCC1c2c(c3c1cccc3)cccc2)=O,2,0.009259259259259259,5.5,6.0
N([C@@H](Cc1ccc(cc1)C)C(O)=O)C(OCC1c2c(c3c1cccc3)cccc2)=O,2,0.009259259259259259,4.0,4.0
N([C@H]([C@H](CC(O)=O)O)CC(C)C)C(OCC1c2c(c3c1cccc3)cccc2)=O,2,0.009259259259259259,4.5,5.0
c12c([nH]c3c1cccc3)CN([C@H](C2)C(O)=O)C(OCC1c2c(c3c1cccc3)cccc2)=O,2,0.009259259259259259,5.0,6.0
[C@@H]12N(C([C@@H](NC1=O)CC(=O)O)=O)C[C@H](C2)NC(OCC1c2c(c3c1cccc3)cccc2)=O,2,0.009259259259259259,5.5,7.0
N([C@H](CC(O)=O)CC#C)C(OCC1c2c(c3c1cccc3)cccc2)=O,2,0.009259259259259259,4.0,4.0
N([C@H](C(O)=O)Cc1ccc(cc1)C#N)C(=O)OCC1c2c(cccc2)c2c1cccc2,2,0.009259259259259259,4.5,5.0
N([C@@H](C(O)=O)Cc1ccccc1Br)C(=O)OCC1c2c(cccc2)c2c1cccc2,2,0.009259259259259259,4.5,5.0
N([C@@H](C(O)=O)Cc1ccccc1Cl)C(=O)OCC1c2c(cccc2)c2c1cccc2,2,0.009259259259259259,6.5,9.0
C(=O)(C(NC(=O)OCC1c2c(cccc2)c2c1cccc2)c1ccccc1F)O,2,0.009259259259259259,5.0,5.0
C(NC(=O)OCC1c2c(cccc2)c2c1cccc2)(C(=O)O)c1ccc(cc1)c1ccccc1,2,0.009259259259259259,12.5,20.0
N([C@H](C(O)=O)Cc1ccccc1F)C(=O)OCC1c2c(cccc2)c2c1cccc2,2,0.009259259259259259,5.0,6.0
N([C@@H](C(=O)O)Cc1ccc(s1)Br)C(=O)OCC1c2c(cccc2)c2c1cccc2,2,0.009259259259259259,5.0,6.0
N([C@H](Cc1cscc1)C(O)=O)C(=O)OCC1c2c(cccc2)c2c1cccc2,2,0.009259259259259259,4.0,4.0
C(C(=O)O)[C@@H](NC(OCC1c2c(c3c1cccc3)cccc2)=O)c1ccccc1,1,0.004629629629629629,4.0,4.0
[C@H](NC(OCC1c2c(c3c1cccc3)cccc2)=O)(C(=O)O)Cc1cc2c(cc1)cccc2,1,0.004629629629629629,4.0,4.0
[C@H](NC(OCC1c2c(c3c1cccc3)cccc2)=O)(C(=O)O)Cc1ccccc1,1,0.004629629629629629,4.0,4.0
N([C@H](C(O)=O)C)C(OCC1c2c(c3c1cccc3)cccc2)=O,1,0.004629629629629629,4.0,4.0
N1([C@@H](CCC1)C(=O)O)C(OCC1c2c(c3c1cccc3)cccc2)=O,1,0.004629629629629629,5.0,5.0
N([C@H](C(=O)O)Cc1cc(c(cc1)OC)OC)C(OCC1c2c(c3c1cccc3)cccc2)=O,1,0.004629629629629629,5.0,5.0
C1N(CC1C(=O)O)C(OCC1c2c(c3c1cccc3)cccc2)=O,1,0.004629629629629629,5.0,5.0
[C@@H](NC(OCC1c2c(c3c1cccc3)cccc2)=O)(C(=O)O)Cc1cccs1,1,0.004629629629629629,4.0,4.0
N([C@H](CC(=O)O)CCC(=O)N)C(OCC1c2c(c3c1cccc3)cccc2)=O,1,0.004629629629629629,4.0,4.0
N(C[C@@H](C(O)=O)C)C(OCC1c2c(c3c1cccc3)cccc2)=O,1,0.004629629629629629,4.0,4.0
C/1=C(/C(N(/C=C1)CC(=O)O)=O)\NC(OCC1c2c(c3c1cccc3)cccc2)=O,1,0.004629629629629629,5.0,5.0
N([C@H](C(=O)O)CC=C)C(OCC1c2c(c3c1cccc3)cccc2)=O,1,0.004629629629629629,4.0,4.0
[C@H](NC(OCC1c2c(c3c1cccc3)cccc2)=O)(C(=O)O)Cc1c(c(c(c(c1F)F)F)F)F,1,0.004629629629629629,4.0,4.0
N([C@H](C(=O)O)Cc1cccc(c1)Cl)C(OCC1c2c(c3c1cccc3)cccc2)=O,1,0.004629629629629629,5.0,5.0
[C@H]1(C[C@H](CN1C(OCC1c2c(c3c1cccc3)cccc2)=O)O)C(=O)O,1,0.004629629629629629,6.0,6.0
N([C@@H](C(=O)O)Cc1ccc(cc1)C)C(OCC1c2c(c3c1cccc3)cccc2)=O,1,0.004629629629629629,7.0,7.0
N([C@@H](C(=O)O)Cc1ccccc1[N+](=O)[O-])C(OCC1c2c(c3c1cccc3)cccc2)=O,1,0.004629629629629629,4.0,4.0
N([C@@H](C(=O)O)Cc1cccc(c1)[N+](=O)[O-])C(OCC1c2c(c3c1cccc3)cccc2)=O,1,0.004629629629629629,7.0,7.0
c1c(cccc1C(O)=O)CNC(OCC1c2c(c3c1cccc3)cccc2)=O,1,0.004629629629629629,7.0,7.0
C1CC[C@@H](C[C@@H]1NC(OCC1c2c(c3c1cccc3)cccc2)=O)C(=O)O,1,0.004629629629629629,4.0,4.0
[C@H]1(CC[C@@H](CC1)C(=O)O)NC(OCC1c2c(c3c1cccc3)cccc2)=O,1,0.004629629629629629,4.0,4.0
[C@H]1(CC[C@H](CC1)C(=O)O)NC(OCC1c2c(c3c1cccc3)cccc2)=O,1,0.004629629629629629,4.0,4.0
N([C@H](C(=O)O)C(C)(C)C)C(OCC1c2c(c3c1cccc3)cccc2)=O,1,0.004629629629629629,4.0,4.0
N([C@@H](Cc1cc(ccc1)OC)C(O)=O)C(OCC1c2c(c3c1cccc3)cccc2)=O,1,0.004629629629629629,4.0,4.0
c12c([nH]c3c1cccc3)CN([C@@H](C2)C(O)=O)C(OCC1c2c(c3c1cccc3)cccc2)=O,1,0.004629629629629629,7.0,7.0
N1(c2c(N(C1=O)CC(O)=O)cccc2)C1CCN(CC1)C(OCC1c2c(c3c1cccc3)cccc2)=O,1,0.004629629629629629,9.0,9.0
N([C@H](\C=1\C\C=C/C/C1)C(O)=O)C(OCC1c2c(c3c1cccc3)cccc2)=O,1,0.004629629629629629,4.0,4.0
N([C@@H](c1cccs1)C(O)=O)C(OCC1c2c(c3c1cccc3)cccc2)=O,1,0.004629629629629629,4.0,4.0
N([C@@H]1[C@@H]([C@]\2(C[C@@]1(\C=C2)[H])[H])C(O)=O)C(OCC1c2c(c3c1cccc3)cccc2)=O,1,0.004629629629629629,4.0,4.0
N([C@@H](Cc1c2c([nH]c1)cccc2)CCC(=O)O)C(OCC1c2c(c3c1cccc3)cccc2)=O,1,0.004629629629629629,4.0,4.0
N([C@H](CC(O)=O)C(C)C)C(OCC1c2c(c3c1cccc3)cccc2)=O,1,0.004629629629629629,5.0,5.0
N([C@H](CC(O)=O)CC=C)C(OCC1c2c(c3c1cccc3)cccc2)=O,1,0.004629629629629629,5.0,5.0
N([C@H](C(=O)O)Cc1cn(c2c1cccc2)C)C(OCC1c2c(c3c1cccc3)cccc2)=O,1,0.004629629629629629,4.0,4.0
N([C@@H](C(=O)O)C(C)(C)C)C(OCC1c2c(c3c1cccc3)cccc2)=O,1,0.004629629629629629,7.0,7.0
C1CN(C(CO1)C(=O)O)C(OCC1c2c(c3c1cccc3)cccc2)=O,1,0.004629629629629629,5.0,5.0
N([C@H](C(O)=O)CCS(C)(=O)=O)C(=O)OCC1c2c(cccc2)c2c1cccc2,1,0.004629629629629629,4.0,4.0
N([C@@H](C(O)=O)Cc1ccccc1C#N)C(=O)OCC1c2c(cccc2)c2c1cccc2,1,0.004629629629629629,6.0,6.0
N([C@@H](C(O)=O)Cc1ccccc1C(F)(F)F)C(=O)OCC1c2c(cccc2)c2c1cccc2,1,0.004629629629629629,5.0,5.0
N([C@H](C(O)=O)Cc1sc(cc1)Br)C(=O)OCC1c2c(cccc2)c2c1cccc2,1,0.004629629629629629,5.0,5.0
N([C@H](C(O)=O)c1ccc(cc1)F)C(=O)OCC1c2c(cccc2)c2c1cccc2,1,0.004629629629629629,8.0,8.0
C(O)(=O)C1N(Cc2c1cccc2)C(=O)OCC1c2c(cccc2)c2c1cccc2,1,0.004629629629629629,5.0,5.0
[C@H](C(O)=O)(NC(=O)OCC1c2c(cccc2)c2c1cccc2)CCNC(=O)OCC=C,1,0.004629629629629629,10.0,10.0
N([C@H](C(O)=O)Cc1cn(cn1)Cc1ccccc1)C(=O)OCC1c2c(cccc2)c2c1cccc2,1,0.004629629629629629,4.0,4.0
[C@@H](NC(=O)OCC1c2c(cccc2)c2c1cccc2)(C(O)=O)CCCCNC(OCC=C)=O,1,0.004629629629629629,9.0,9.0
[C@@H](NC(=O)OCC1c2c(cccc2)c2c1cccc2)(C(O)=O)Cc1cccc(c1)Br,1,0.004629629629629629,4.0,4.0
C(NC(=O)OCC1c2c(cccc2)c2c1cccc2)(C(O)=O)CC1CCN(CC1)C(OCC=C)=O,1,0.004629629629629629,4.0,4.0
[C@H](NC(OCC1c2c(c3c1cccc3)cccc2)=O)(C(=O)O)CCNC(=O)OCC=C,1,0.004629629629629629,6.0,6.0
N([C@H](C(=O)O)CC1CC1)C(OCC1c2c(c3c1cccc3)cccc2)=O,1,0.004629629629629629,4.0,4.0
[C@@H](NC(OCC1c2c(c3c1cccc3)cccc2)=O)(C(=O)O)CCC(NCC1CC1)=O,1,0.004629629629629629,4.0,4.0
[C@H](NC(OCC1c2c(c3c1cccc3)cccc2)=O)(C(=O)O)Cc1cccs1,1,0.004629629629629629,5.0,5.0
C1(CCCC1)(C(=O)O)NC(OCC1c2c(c3c1cccc3)cccc2)=O,1,0.004629629629629629,6.0,6.0
N([C@H](C(O)=O)CC(=C)Br)C(=O)OCC1c2c(cccc2)c2c1cccc2,1,0.004629629629629629,4.0,4.0
N([C@H](C(O)=O)CCCCNC(C(F)(F)F)=O)C(=O)OCC1c2c(cccc2)c2c1cccc2,1,0.004629629629629629,4.0,4.0
C(CNC(OCC=C)=O)C[C@H](NC(=O)OCC1c2c(cccc2)c2c1cccc2)C(O)=O,1,0.004629629629629629,4.0,4.0
N([C@@H](C(O)=O)Cc1ccc(cc1)C#N)C(=O)OCC1c2c(cccc2)c2c1cccc2,1,0.004629629629629629,4.0,4.0
