scaffold,count,fraction,mean_Fn,max_Fn
O=S(=O)(c1cnc2n1CCC2)N1CC(c2ccc(-c3ccccc3)cc2)C1,31,0.002380952380952381,1.8713414686309044,5.20443210364639
c1ccc(-c2ccc(C3CCN(Cc4ccc5ncccc5c4)C3)cc2)cc1,31,0.002380952380952381,1.5821667550859535,5.05756726120435
O=C1CCC(CCN2CC(c3ccc(-c4ccccc4)cc3)C2)O1,31,0.002380952380952381,1.7991468017080525,4.91060528255798
c1ccc(-c2ccc(C3CN(Cc4ccncn4)C3)cc2)cc1,31,0.002380952380952381,1.4831902448710619,4.31742953334864
O=S(=O)(c1cnn[nH]1)N1CCC(c2ccc(-c3ccccc3)cc2)C1,31,0.002380952380952381,1.5455468181364327,3.47504154941356
O=S(=O)(c1cncnc1)N1CCC(c2ccc(-c3ccccc3)cc2)C1,31,0.002380952380952381,1.8057703357543822,3.41204264512287
c1ccc(-c2ccc(C3CCN(Cc4cnon4)C3)cc2)cc1,31,0.002380952380952381,1.8176007326927441,3.37121531605851
c1ccc(-c2ccc(C3CCN(Cc4cn[nH]c4)C3)cc2)cc1,30,0.002304147465437788,1.7442303372050874,5.67548968938348
c1ccc(-c2ccc(C3CCN(CC4CC5(CC5)C4)C3)cc2)cc1,30,0.002304147465437788,1.878692785197508,4.99988800645324
O=S(=O)(C=Cc1ccccc1)N1CCC(c2ccc(-c3ccccc3)cc2)C1,30,0.002304147465437788,1.8448168655805857,4.95966895057103
O=S(=O)(c1ccoc1)N1CC(c2ccc(-c3ccccc3)cc2)C1,30,0.002304147465437788,1.760404987112424,4.59078096530474
c1ccc(-c2ccc(C3CN(Cc4cn(-c5ccccc5)nn4)C3)cc2)cc1,30,0.002304147465437788,1.560923562406916,3.68304322676157
O=S(=O)(C1CC1)N1CCC(c2ccc(-c3ccccc3)cc2)C1,29,0.0022273425499231953,1.9307518357068134,5.05580072634735
c1ccc(-c2ccc(C3CN(Cc4cnon4)C3)cc2)cc1,29,0.0022273425499231953,1.6615027197537162,4.30399919235462
O=S(=O)(c1ncc[nH]1)N1CC(c2ccc(-c3ccccc3)cc2)C1,29,0.0022273425499231953,1.7414160130200813,3.69746907341491
c1ccc(-c2ccc(C3CN(CC4CC5(CC5)C4)C3)cc2)cc1,29,0.0022273425499231953,1.6630186008474646,3.45514252455838
c1ccc(-c2ccc(C3CN(Cc4c[nH]nn4)C3)cc2)cc1,29,0.0022273425499231953,1.5970514633033268,2.33314695306873
c1ccc(-c2ccc(C3CCN(CC4COC4)C3)cc2)cc1,28,0.002150537634408602,2.0062090917718605,4.87375234300915
c1ccc(-c2ccc(C3CN(CCN4CCOCC4)C3)cc2)cc1,28,0.002150537634408602,1.5505191040023754,4.52938897851915
c1ccc(-c2ccc(C3CN(Cc4cncnc4)C3)cc2)cc1,28,0.002150537634408602,1.6653975198532682,4.36427257806181
c1ccc(-c2ccc(C3CN(Cc4ccc5ncccc5c4)C3)cc2)cc1,28,0.002150537634408602,1.3604671432813342,4.1798819318618
O=S(=O)(c1cncnc1)N1CC(c2ccc(-c3ccccc3)cc2)C1,28,0.002150537634408602,1.5948568412159283,3.75506924215413
c1ccc(-c2ccc(C3CN(Cc4ccc5ccccc5n4)C3)cc2)cc1,28,0.002150537634408602,1.4977249223192393,3.65685189218517
c1ccc(COCCN2CC(c3ccc(-c4ccccc4)cc3)C2)cc1,28,0.002150537634408602,1.8618473056596812,3.57066705230862
c1ccc(-c2ccc(C3CCN(CCC4CCOCC4)C3)cc2)cc1,27,0.0020737327188940094,2.0720812188211424,5.05606720295099
O=S(=O)(c1cccnc1)N1CCC(c2ccc(-c3cccnc3)cc2)C1,27,0.0020737327188940094,1.6582174294451073,4.68688428462175
c1ccc(-c2ccc(C3CCN(Cc4cccc5ccoc45)C3)cc2)cc1,27,0.0020737327188940094,1.9787528133571215,4.63467736997269
c1ccc(-c2ccc(C3CCN(CC4CCC4)C3)cc2)cc1,26,0.0019969278033794163,1.9601453917651985,5.03001142755474
